feat,importance,b,q_level
state_city_FL_MIRAMAR,0,0,0.5
state_city_FL_ORLANDO,0,0,0.5
state_city_FL_PALM_BAY,0,0,0.5
state_city_FL_PALM_COAST,0,0,0.5
state_city_FL_PEMBROKE_PINES,0,0,0.5
state_city_FL_TALLAHASSEE,0,0,0.5
state_city_FL_TAMPA,0,0,0.5
state_city_FL_WEST_PALM_BEACH,0,0,0.5
state_city_GA,0,0,0.5
state_city_GA_ATLANTA,0,0,0.5
state_city_GA_COLUMBUS,0,0,0.5
state_city_GA_SAVANNAH,0,0,0.5
state_city_HI,0,0,0.5
state_city_IA,0,0,0.5
state_city_IA_CEDAR_RAPIDS,0,0,0.5
state_city_IA_DAVENPORT,0,0,0.5
state_city_IA_DES_MOINES,0,0,0.5
state_city_ID,0,0,0.5
state_city_ID_NAMPA,0,0,0.5
state_city_IL,0,0,0.5
state_city_IL_AURORA,0,0,0.5
state_city_IL_CHICAGO,0,0,0.5
state_city_IL_ELGIN,0,0,0.5
state_city_IL_JOLIET,0,0,0.5
state_city_IL_NAPERVILLE,0,0,0.5
state_city_IL_PEORIA,0,0,0.5
state_city_IL_ROCKFORD,0,0,0.5
state_city_IL_SPRINGFIELD,0,0,0.5
state_city_IN,0,0,0.5
state_city_IN_CARMEL,0,0,0.5
state_city_IN_EVANSVILLE,0,0,0.5
state_city_IN_FORT_WAYNE,0,0,0.5
state_city_IN_SOUTH_BEND,0,0,0.5
state_city_KS,0,0,0.5
state_city_KS_KANSAS_CITY,0,0,0.5
state_city_KS_OLATHE,0,0,0.5
state_city_KS_OVERLAND_PARK,0,0,0.5
state_city_KS_TOPEKA,0,0,0.5
state_city_KS_WICHITA,0,0,0.5
state_city_KY,0,0,0.5
state_city_LA,0,0,0.5
state_city_LA_BATON_ROUGE,0,0,0.5
state_city_LA_LAFAYETTE,0,0,0.5
state_city_LA_NEW_ORLEANS,0,0,0.5
state_city_LA_SHREVEPORT,0,0,0.5
state_city_MA,0,0,0.5
state_city_MA_BOSTON,0,0,0.5
