location,date,inc
16,2023-01-14,46
16,2023-01-21,35
16,2023-01-28,17
16,2023-02-04,3
16,2023-02-11,4
16,2023-02-18,8
16,2023-02-25,3
16,2023-03-04,3
16,2023-03-11,4
16,2023-03-18,6
16,2023-03-25,3
16,2023-04-01,3
16,2023-04-08,5
16,2023-04-15,2
16,2023-04-22,3
16,2023-04-29,7
16,2023-05-06,5
16,2023-05-13,9
16,2023-05-20,1
16,2023-05-27,2
16,2023-06-03,2
16,2023-06-10,1
16,2023-06-17,6
16,2023-06-24,1
16,2023-07-01,7
16,2023-07-08,3
16,2023-07-15,3
16,2023-07-22,1
16,2023-07-29,3
16,2023-08-05,2
16,2023-08-12,3
16,2023-08-19,3
16,2023-08-26,0
16,2023-09-02,0
16,2023-09-09,2
16,2023-09-16,0
16,2023-09-23,3
16,2023-09-30,2
16,2023-10-07,4
16,2023-10-14,2
16,2023-10-21,2
16,2023-10-28,4
16,2023-11-04,5
16,2023-11-11,4
17,2022-09-03,10
17,2022-09-10,5
17,2022-09-17,4
17,2022-09-24,15
17,2022-10-01,10
17,2022-10-08,12
17,2022-10-15,28
17,2022-10-22,39
17,2022-10-29,106
17,2022-11-05,161
17,2022-11-12,268
17,2022-11-19,400
17,2022-11-26,861
17,2022-12-03,1146
17,2022-12-10,984
17,2022-12-17,743
17,2022-12-24,592
17,2022-12-31,573
17,2023-01-07,442
17,2023-01-14,175
17,2023-01-21,69
17,2023-01-28,73
17,2023-02-04,28
17,2023-02-11,31
17,2023-02-18,28
17,2023-02-25,32
17,2023-03-04,24
17,2023-03-11,16
17,2023-03-18,12
17,2023-03-25,30
17,2023-04-01,28
17,2023-04-08,25
17,2023-04-15,35
17,2023-04-22,25
17,2023-04-29,18
17,2023-05-06,23
17,2023-05-13,30
17,2023-05-20,25
17,2023-05-27,28
17,2023-06-03,22
17,2023-06-10,21
17,2023-06-17,21
17,2023-06-24,13
17,2023-07-01,8
17,2023-07-08,11
17,2023-07-15,10
17,2023-07-22,12
17,2023-07-29,10
17,2023-08-05,12
17,2023-08-12,13
17,2023-08-19,9
17,2023-08-26,12
